date,compound_score,positive_score,neutral_score,negative_score
2020-03-10,-0.04176,0.0652,0.8252,0.1096
2020-03-11,-0.02532,0.14,0.78,0.0798
2020-03-12,-0.1718,0.0632,0.829,0.1078
2020-03-13,0.00546,0.1306,0.7568,0.1126
2020-03-14,-0.06714,0.0882,0.7812,0.1306
2020-03-15,-0.47426,0.0132,0.7512,0.2358
2020-03-16,-0.49438,0.0472,0.657,0.2958
2020-03-17,0.14734,0.1436,0.7836,0.0728
2020-03-18,-0.09608,0.1308,0.6858,0.1834
2020-03-19,-0.26712,0.053,0.7566,0.1904
2020-03-20,0.2924,0.155,0.845,0
2020-03-21,0.2268,0.1458,0.8292,0.025
2020-03-22,-0.2302,0.0764,0.75,0.1736
2020-03-23,-0.17948,0.109,0.7124,0.1786
2020-03-24,-0.25974,0.0672,0.697,0.2356
2020-03-25,-0.07446,0.026,0.9248,0.0492
2020-03-26,0.15484,0.0874,0.888,0.0246
2020-03-27,-0.04482,0.0298,0.895,0.0752
2020-03-28,0.12652,0.1594,0.7568,0.0838
2020-03-29,0.12228,0.1322,0.7664,0.1014
2020-03-30,-0.05464,0,0.981,0.019
2020-03-31,0.05346,0.1274,0.7582,0.1144
2020-04-01,0.08152,0.0716,0.9072,0.0212
2020-04-02,0.02502,0.096,0.8172,0.0868
2020-04-03,-0.01008,0.047,0.9044,0.0486
2020-04-04,0.16806,0.1822,0.754,0.0638
2020-04-05,-0.17212,0.0588,0.819,0.1222
2020-04-06,0.30002,0.2114,0.7552,0.0334
2020-04-07,-0.02666,0.0422,0.8812,0.0766
2020-04-08,0.28374,0.149,0.851,0
2020-04-09,0.3734,0.1844,0.8156,0
2020-04-10,0.33756,0.1758,0.801,0.023
2020-04-11,0.18082,0.133,0.867,0
2020-04-12,0.46814,0.2302,0.7538,0.016
2020-04-13,-0.03276,0.0758,0.736,0.1882
2020-04-14,0.11282,0.0988,0.8314,0.0698
2020-04-15,0.08106,0.0796,0.8344,0.086
2020-04-16,-0.2479,0.039,0.8186,0.1424
2020-04-17,0.06622,0.1202,0.7658,0.114
2020-04-18,0.28796,0.1452,0.8548,0
2020-04-19,-0.06456,0.0572,0.8318,0.111
2020-04-20,0.02572,0.0568,0.8984,0.0448
2020-04-21,0.2614,0.1336,0.8664,0
2020-04-22,-0.16268,0.0796,0.79,0.1304
2020-04-23,-0.1134,0.1232,0.7506,0.1266
2020-04-24,-0.00436,0.0878,0.798,0.1142
2020-04-25,-0.32236,0.0354,0.7722,0.1924
2020-04-26,0.10352,0.1038,0.8632,0.033
2020-04-27,-0.13252,0.0686,0.7978,0.1334
2020-04-28,0.01476,0.102,0.8042,0.0936
2020-04-29,0.10296,0.1164,0.8076,0.076
2020-04-30,-0.22498,0,0.865,0.135
2020-05-01,0.24684,0.1936,0.704,0.1024
2020-05-02,0.11398,0.145,0.7972,0.0578
2020-05-03,0.076,0.1336,0.7802,0.0862
2020-05-04,0.0136,0.0716,0.8832,0.0452
2020-05-05,-0.0108,0.0818,0.8188,0.0994
2020-05-06,-0.25116,0.0946,0.6704,0.235
2020-05-07,0.08496,0.0988,0.8712,0.03
2020-05-08,0.16752,0.0936,0.884,0.0224
2020-05-09,0.05378,0.1536,0.757,0.0894
2020-05-10,-0.068,0.0396,0.8946,0.0656
2020-05-11,0.02174,0.0974,0.8328,0.0698
2020-05-12,-0.19122,0.0366,0.8232,0.1402
2020-05-13,0.26896,0.1882,0.7356,0.0762
2020-05-14,0.30534,0.1796,0.7906,0.0298
2020-05-15,-0.20844,0.1276,0.586,0.2862
2020-05-16,-0.26358,0.0226,0.8802,0.097
2020-05-17,-0.10358,0.0374,0.8828,0.0798
2020-05-18,-0.00484,0.0898,0.8108,0.0994
2020-05-19,-0.02038,0.045,0.8768,0.0782
2020-05-20,-0.04282,0.0898,0.7678,0.1424
2020-05-21,0.04764,0.0658,0.8904,0.0438
2020-05-22,-0.05212,0.0398,0.8558,0.1044
2020-05-23,-0.26344,0,0.8724,0.1276
2020-05-24,-0.2329,0,0.833,0.167
2020-05-25,-0.0484,0.1328,0.7312,0.136
2020-05-26,0.16826,0.1832,0.7726,0.0444
2020-05-27,0.2971,0.169,0.831,0
2020-05-28,-0.12008,0.035,0.8732,0.0918
2020-05-29,0.25108,0.1442,0.8558,0
